#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
generateCandidateSV_0001		command	1	1536	0	0	makeHyGenDir		/PHShome/xd010/libexec/GenerateSVCandidates --align-stats /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/alignmentStats.xml --graph-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svLocusGraph.bin --bin-index 1 --bin-count 4 --max-edge-count 10 --min-candidate-sv-size 8 --min-candidate-spanning-count 3 --min-scored-sv-size 50 --ref /PHShome/xd010/share/demo/manta/data/Homo_sapiens_assembly19.COST16011_region.fa --candidate-output-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/candidateSV.0001.vcf --diploid-output-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/diploidSV.0001.vcf --min-qual-score 10 --min-pass-qual-score 20 --min-pass-gt-score 15 --somatic-output-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/somaticSV.0001.vcf --min-somatic-score 10 --min-pass-somatic-score 30 --edge-runtime-log /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/edgeRuntimeLog.0001.txt --edge-stats-log /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/edgeStats.0001.xml --align-file /PHShome/xd010/share/demo/manta/data/HCC1954.NORMAL.30x.compare.COST16011_region.bam --tumor-align-file /PHShome/xd010/share/demo/manta/data/G15512.HCC1954.1.COST16011_region.bam
generateCandidateSV_0002		command	1	1536	0	0	makeHyGenDir		/PHShome/xd010/libexec/GenerateSVCandidates --align-stats /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/alignmentStats.xml --graph-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svLocusGraph.bin --bin-index 2 --bin-count 4 --max-edge-count 10 --min-candidate-sv-size 8 --min-candidate-spanning-count 3 --min-scored-sv-size 50 --ref /PHShome/xd010/share/demo/manta/data/Homo_sapiens_assembly19.COST16011_region.fa --candidate-output-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/candidateSV.0002.vcf --diploid-output-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/diploidSV.0002.vcf --min-qual-score 10 --min-pass-qual-score 20 --min-pass-gt-score 15 --somatic-output-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/somaticSV.0002.vcf --min-somatic-score 10 --min-pass-somatic-score 30 --edge-runtime-log /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/edgeRuntimeLog.0002.txt --edge-stats-log /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/edgeStats.0002.xml --align-file /PHShome/xd010/share/demo/manta/data/HCC1954.NORMAL.30x.compare.COST16011_region.bam --tumor-align-file /PHShome/xd010/share/demo/manta/data/G15512.HCC1954.1.COST16011_region.bam
generateCandidateSV_0003		command	1	1536	0	0	makeHyGenDir		/PHShome/xd010/libexec/GenerateSVCandidates --align-stats /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/alignmentStats.xml --graph-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svLocusGraph.bin --bin-index 3 --bin-count 4 --max-edge-count 10 --min-candidate-sv-size 8 --min-candidate-spanning-count 3 --min-scored-sv-size 50 --ref /PHShome/xd010/share/demo/manta/data/Homo_sapiens_assembly19.COST16011_region.fa --candidate-output-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/candidateSV.0003.vcf --diploid-output-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/diploidSV.0003.vcf --min-qual-score 10 --min-pass-qual-score 20 --min-pass-gt-score 15 --somatic-output-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/somaticSV.0003.vcf --min-somatic-score 10 --min-pass-somatic-score 30 --edge-runtime-log /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/edgeRuntimeLog.0003.txt --edge-stats-log /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/edgeStats.0003.xml --align-file /PHShome/xd010/share/demo/manta/data/HCC1954.NORMAL.30x.compare.COST16011_region.bam --tumor-align-file /PHShome/xd010/share/demo/manta/data/G15512.HCC1954.1.COST16011_region.bam
fixVcfHeader_sortCandidateSV		command	1	2048	0	1	generateCandidateSV_0002,generateCandidateSV_0000,generateCandidateSV_0001,generateCandidateSV_0003		"/apps/source/python-2.7.3/Python-2.7.3/bin/python" "/PHShome/xd010/libexec/vcfCmdlineSwapper.py" "/PHShome/xd010/bin/configManta.py --normalBam=/PHShome/xd010/share/demo/manta/data/HCC1954.NORMAL.30x.compare.COST16011_region.bam --tumorBam=/PHShome/xd010/share/demo/manta/data/G15512.HCC1954.1.COST16011_region.bam --referenceFasta=/PHShome/xd010/share/demo/manta/data/Homo_sapiens_assembly19.COST16011_region.fa --region=8:107652000-107655000 --region=11:94974000-94989000 --candidateBins=4 --exome --runDir=MantaDemoAnalysis" < "/data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/candidateSV.0000.vcf" > "/data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/candidateSV.0000.vcf.reheader.tmp" && mv "/data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/candidateSV.0000.vcf.reheader.tmp" "/data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/candidateSV.0000.vcf"
sortCandidateSVInputList		workflow	0	0	0	0	fixVcfHeader_sortCandidateSV		listFileWorkflow
sort_sortCandidateSV		command	1	2048	0	0	sortCandidateSVInputList		"/apps/source/python-2.7.3/Python-2.7.3/bin/python" "/PHShome/xd010/libexec/sortVcf.py" -f "/data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/list.sortCandidateSV.txt" -a | "/PHShome/xd010/libexec/bgzip" -c > "/data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/results/variants/candidateSV.vcf.gz"
tabix_sortCandidateSV		command	1	2048	0	1	sort_sortCandidateSV		/PHShome/xd010/libexec/tabix -f -p vcf /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/results/variants/candidateSV.vcf.gz
fixVcfHeader_sortDiploidSV		command	1	2048	0	1	generateCandidateSV_0002,generateCandidateSV_0000,generateCandidateSV_0001,generateCandidateSV_0003		"/apps/source/python-2.7.3/Python-2.7.3/bin/python" "/PHShome/xd010/libexec/vcfCmdlineSwapper.py" "/PHShome/xd010/bin/configManta.py --normalBam=/PHShome/xd010/share/demo/manta/data/HCC1954.NORMAL.30x.compare.COST16011_region.bam --tumorBam=/PHShome/xd010/share/demo/manta/data/G15512.HCC1954.1.COST16011_region.bam --referenceFasta=/PHShome/xd010/share/demo/manta/data/Homo_sapiens_assembly19.COST16011_region.fa --region=8:107652000-107655000 --region=11:94974000-94989000 --candidateBins=4 --exome --runDir=MantaDemoAnalysis" < "/data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/diploidSV.0000.vcf" > "/data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/diploidSV.0000.vcf.reheader.tmp" && mv "/data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/diploidSV.0000.vcf.reheader.tmp" "/data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/diploidSV.0000.vcf"
sortDiploidSVInputList		workflow	0	0	0	0	fixVcfHeader_sortDiploidSV		listFileWorkflow
sort_sortDiploidSV		command	1	2048	0	0	sortDiploidSVInputList		"/apps/source/python-2.7.3/Python-2.7.3/bin/python" "/PHShome/xd010/libexec/sortVcf.py" -f "/data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/list.sortDiploidSV.txt" > "/data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/diploidSV.vcf.temp" && "/apps/source/python-2.7.3/Python-2.7.3/bin/python" "/PHShome/xd010/libexec/ploidyFilter.py" "/data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/diploidSV.vcf.temp" | "/PHShome/xd010/libexec/bgzip" -c > "/data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/results/variants/diploidSV.vcf.gz" && rm -f "/data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/diploidSV.vcf.temp"
tabix_sortDiploidSV		command	1	2048	0	1	sort_sortDiploidSV		/PHShome/xd010/libexec/tabix -f -p vcf /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/results/variants/diploidSV.vcf.gz
fixVcfHeader_sortSomaticSV		command	1	2048	0	1	generateCandidateSV_0002,generateCandidateSV_0000,generateCandidateSV_0001,generateCandidateSV_0003		"/apps/source/python-2.7.3/Python-2.7.3/bin/python" "/PHShome/xd010/libexec/vcfCmdlineSwapper.py" "/PHShome/xd010/bin/configManta.py --normalBam=/PHShome/xd010/share/demo/manta/data/HCC1954.NORMAL.30x.compare.COST16011_region.bam --tumorBam=/PHShome/xd010/share/demo/manta/data/G15512.HCC1954.1.COST16011_region.bam --referenceFasta=/PHShome/xd010/share/demo/manta/data/Homo_sapiens_assembly19.COST16011_region.fa --region=8:107652000-107655000 --region=11:94974000-94989000 --candidateBins=4 --exome --runDir=MantaDemoAnalysis" < "/data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/somaticSV.0000.vcf" > "/data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/somaticSV.0000.vcf.reheader.tmp" && mv "/data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/somaticSV.0000.vcf.reheader.tmp" "/data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/somaticSV.0000.vcf"
sortSomaticSVInputList		workflow	0	0	0	0	fixVcfHeader_sortSomaticSV		listFileWorkflow
sort_sortSomaticSV		command	1	2048	0	0	sortSomaticSVInputList		"/apps/source/python-2.7.3/Python-2.7.3/bin/python" "/PHShome/xd010/libexec/sortVcf.py" -f "/data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/list.sortSomaticSV.txt" | "/PHShome/xd010/libexec/bgzip" -c > "/data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/results/variants/somaticSV.vcf.gz"
tabix_sortSomaticSV		command	1	2048	0	1	sort_sortSomaticSV		/PHShome/xd010/libexec/tabix -f -p vcf /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/results/variants/somaticSV.vcf.gz
extractSmallIndels		command	1	2048	0	1	sort_sortCandidateSV		"/PHShome/xd010/libexec/bgzip" -dc "/data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/results/variants/candidateSV.vcf.gz" | "/apps/source/python-2.7.3/Python-2.7.3/bin/python" "/PHShome/xd010/libexec/extractSmallIndelCandidates.py" --maxSize 49 | "/PHShome/xd010/libexec/bgzip" -c > "/data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/results/variants/candidateSmallIndels.vcf.gz"
extractSmallIndels_tabix		command	1	2048	0	1	extractSmallIndels		/PHShome/xd010/libexec/tabix -f -p vcf /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/results/variants/candidateSmallIndels.vcf.gz
sortEdgeRuntimeLogsInputList		workflow	0	0	0	0	generateCandidateSV_0002,generateCandidateSV_0000,generateCandidateSV_0001,generateCandidateSV_0003		listFileWorkflow
sortEdgeRuntimeLogs		command	1	2048	0	1	sortEdgeRuntimeLogsInputList		/apps/source/python-2.7.3/Python-2.7.3/bin/python /PHShome/xd010/libexec/sortEdgeLogs.py -f /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/list.edgeRuntimeLog.txt -o /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/edgeRuntimeLog.txt
mergeEdgeStatsInputList		workflow	0	0	0	0	generateCandidateSV_0002,generateCandidateSV_0000,generateCandidateSV_0001,generateCandidateSV_0003		listFileWorkflow
mergeEdgeStats		command	1	2048	0	1	mergeEdgeStatsInputList		/PHShome/xd010/libexec/MergeEdgeStats --stats-file-list /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/workspace/svHyGen/list.edgeStats.txt --output-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/results/stats/svCandidateGenerationStats.xml --report-file /data/neurogen/pipeline/DNAseq/libs/MantaDemoAnalysis/results/stats/svCandidateGenerationStats.tsv
